date,symbol,open,high,low,close,volume,asset_type,fetched_at
2001-09-28,CL=F,23.149999618530273,23.489999771118164,23.0,23.43000030517578,60080,commodity,2026-04-10T11:50:29.589449
2001-10-01,CL=F,22.799999237060547,23.399999618530273,22.399999618530273,23.280000686645508,50970,commodity,2026-04-10T11:50:29.589537
2001-10-02,CL=F,23.0,23.34000015258789,22.75,22.790000915527344,42332,commodity,2026-04-10T11:50:29.589650
2001-10-03,CL=F,22.100000381469727,22.399999618530273,21.719999313354492,22.079999923706055,60413,commodity,2026-04-10T11:50:29.589742
2001-10-04,CL=F,22.649999618530273,22.899999618530273,22.079999923706055,22.6299991607666,56132,commodity,2026-04-10T11:50:29.590255
2001-10-05,CL=F,23.049999237060547,23.100000381469727,22.299999237060547,22.389999389648438,57970,commodity,2026-04-10T11:50:29.590585
2001-10-08,CL=F,22.299999237060547,22.700000762939453,21.950000762939453,22.450000762939453,51267,commodity,2026-04-10T11:50:29.590689
2001-10-09,CL=F,22.5,22.6200008392334,22.260000228881836,22.479999542236328,46246,commodity,2026-04-10T11:50:29.590786
2001-10-10,CL=F,22.75,22.920000076293945,22.43000030517578,22.530000686645508,49156,commodity,2026-04-10T11:50:29.590879
2001-10-11,CL=F,22.75,23.399999618530273,22.25,23.34000015258789,63486,commodity,2026-04-10T11:50:29.591105
2001-10-12,CL=F,23.649999618530273,23.979999542236328,22.059999465942383,22.5,93048,commodity,2026-04-10T11:50:29.591242
2001-08-01,^GSPC,1211.22998046875,1223.0400390625,1211.22998046875,1215.9300537109375,1340300000,index,2026-04-10T11:50:30.870494
2001-08-02,^GSPC,1215.9300537109375,1226.27001953125,1215.31005859375,1220.75,1218300000,index,2026-04-10T11:50:30.870716
2001-08-03,^GSPC,1220.75,1220.75,1205.31005859375,1214.3499755859375,939900000,index,2026-04-10T11:50:30.870829
2001-08-06,^GSPC,1214.3499755859375,1214.3499755859375,1197.3499755859375,1200.47998046875,811700000,index,2026-04-10T11:50:30.870929
2001-08-07,^GSPC,1200.469970703125,1207.56005859375,1195.6400146484375,1204.4000244140625,1012000000,index,2026-04-10T11:50:30.871025
2001-08-08,^GSPC,1204.4000244140625,1206.7900390625,1181.27001953125,1183.530029296875,1124600000,index,2026-04-10T11:50:30.871118
2001-08-09,^GSPC,1183.530029296875,1184.7099609375,1174.6800537109375,1183.4300537109375,1104200000,index,2026-04-10T11:50:30.871209
2001-08-10,^GSPC,1183.4300537109375,1193.3299560546875,1169.550048828125,1190.1600341796875,960900000,index,2026-04-10T11:50:30.871299
2001-08-13,^GSPC,1190.1600341796875,1193.8199462890625,1185.1199951171875,1191.2900390625,837600000,index,2026-04-10T11:50:30.871388
2001-08-14,^GSPC,1191.2900390625,1198.7900390625,1184.260009765625,1186.72998046875,964600000,index,2026-04-10T11:50:30.871582
2001-08-15,^GSPC,1186.72998046875,1191.2099609375,1177.6099853515625,1178.02001953125,1065600000,index,2026-04-10T11:50:30.871729
