timestamp,Open,High,Low,Close,Volume
2025-08-01,115738.953125,116060.7734375,112724.4453125,113320.0859375,91294530181
2025-08-02,113320.390625,114021.6015625,112005.765625,112526.9140625,56870866000
2025-08-03,112525.8046875,114747.421875,111943.8046875,114217.671875,48099615826
2025-08-04,114223.921875,115729.46875,114130.40625,115071.8828125,35783028986
2025-08-05,115072.1875,115117.4375,112701.109375,114141.4453125,61039182286
2025-08-06,114140.9140625,115737.8359375,113372.25,115028.0,56379133510
2025-08-07,115030.0546875,117676.90625,114279.7109375,117496.8984375,64051649681
2025-08-08,117505.5,117689.203125,115917.4609375,116688.7265625,59713005166
2025-08-09,116678.2734375,117906.609375,116363.8359375,116500.359375,54004312429
2025-08-10,116497.71875,119320.7109375,116485.1640625,119306.7578125,64755458694
2025-08-11,119306.8125,122321.09375,118159.03125,118731.4453125,90528784177
2025-08-12,118717.6640625,120302.46875,118228.71875,120172.90625,72803657984
2025-08-13,120168.9765625,123682.453125,118939.6328125,123344.0625,90904808795
2025-08-14,123339.3984375,124457.1171875,117254.8828125,118359.578125,104055627395
2025-08-15,118365.78125,119332.3125,116864.5703125,117398.3515625,68665353159
